ncounts,nstrata,ymin,ymax,nknots,stratify_by,nonzeroweight,nobservers,X.basis,count,strat_name,strat,obser,year,firstyr,month,day,r_year,route
NA,NA,NA,NA,NA,NA,NA,NA,0.064032492,0,50-112,12,3,19,0,6,29,2012,4-108
NA,NA,NA,NA,NA,NA,NA,NA,0.070171091,22,50-112,12,4,12,1,6,14,2005,4-108
NA,NA,NA,NA,NA,NA,NA,NA,0.075599521,1,50-112,12,5,3,1,6,3,1996,4-108
NA,NA,NA,NA,NA,NA,NA,NA,0.082609489,5,50-112,12,6,4,1,6,25,1997,4-108
NA,NA,NA,NA,NA,NA,NA,NA,0.092751108,8,50-112,12,6,6,0,6,17,1999,4-108
NA,NA,NA,NA,NA,NA,NA,NA,0.102997903,10,52-110,15,1,6,1,6,24,1999,11-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.108579281,21,52-110,15,1,7,0,6,14,2000,11-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.104761516,17,52-110,15,2,1,1,6,9,1994,11-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.090322061,9,52-110,15,2,2,0,6,16,1995,11-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.070224487,12,52-110,15,2,4,0,6,16,1997,11-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.050062061,1,52-110,15,3,23,1,6,17,2016,11-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.034987054,21,52-110,15,3,24,0,6,10,2017,11-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.025819405,16,52-110,15,3,25,0,6,9,2018,11-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.020920067,8,52-110,15,3,26,0,6,16,2019,11-Apr
NA,NA,NA,NA,NA,NA,NA,NA,0.018621915,6,52-110,15,4,12,1,6,16,2005,4-111
NA,NA,NA,NA,NA,NA,NA,NA,0.017332651,12,52-110,15,4,13,0,6,24,2006,4-111
NA,NA,NA,NA,NA,NA,NA,NA,0.015656322,19,52-110,15,4,14,0,6,15,2007,4-111
NA,NA,NA,NA,NA,NA,NA,NA,0.012228789,17,52-110,15,4,15,0,6,20,2008,4-111
NA,NA,NA,NA,NA,NA,NA,NA,0.005714957,18,52-110,15,4,16,0,6,17,2009,4-111
NA,NA,NA,NA,NA,NA,NA,NA,-0.004732483,7,52-110,15,4,18,0,6,21,2011,4-111
NA,NA,NA,NA,NA,NA,NA,NA,-0.019556086,6,52-110,15,4,19,0,6,16,2012,4-111
NA,NA,NA,NA,NA,NA,NA,NA,-0.039186158,4,52-110,15,4,21,0,6,10,2014,4-111
NA,NA,NA,NA,NA,NA,NA,NA,-0.039186158,1,52-110,15,4,22,0,6,14,2015,4-111
NA,NA,NA,NA,NA,NA,NA,NA,-0.019556086,1,52-110,15,4,23,0,6,16,2016,4-111
NA,NA,NA,NA,NA,NA,NA,NA,-0.004732483,1,52-110,15,4,24,0,6,10,2017,4-111
NA,NA,NA,NA,NA,NA,NA,NA,0.005714957,3,52-110,15,4,25,0,6,17,2018,4-111
