"","Year","Index","Q25","Q975","Stratum"
"1",1966,0.0188132487434799,0.00236691733989427,0.0775220371528809,"DE"
"2",1967,0.0183465278340101,0.00234242544237347,0.0783179573418297,"DE"
"3",1968,0.0177764580576899,0.00231419381794624,0.0669447415622507,"DE"
"4",1969,0.0177154407133613,0.00232669514690756,0.066718803220846,"DE"
"5",1970,0.0168614602766339,0.00247978317701138,0.0707347276395444,"DE"
"6",1971,0.0157622715114707,0.00250247089976123,0.0730950363160872,"DE"
"7",1972,0.0154053308844572,0.00255733982689413,0.0709285494723315,"DE"
"8",1973,0.0150492784216114,0.00258877648728933,0.0617190256066572,"DE"
"9",1974,0.0144562139036838,0.00266191745539076,0.0511708695004062,"DE"
"10",1975,0.0133012209384249,0.00279890191461885,0.0497936720881928,"DE"
"11",1976,0.0128738928875456,0.00280021115148443,0.0447336140616567,"DE"
"12",1977,0.0129258861877188,0.00276268677168885,0.0476428968166347,"DE"
"13",1978,0.0128370875089998,0.00279128775281411,0.0465803327319162,"DE"
"14",1979,0.0135352329266028,0.00258332062630632,0.0594622230978006,"DE"
"15",1980,0.0134952651251863,0.00255715798933454,0.0554729129388966,"DE"
"16",1981,0.0151015911308985,0.00251813268251951,0.0595155785387496,"DE"
"17",1982,0.0148950963957774,0.0025727874727783,0.0551325212702898,"DE"
"18",1983,0.0136688479643508,0.00257337456429121,0.0583133393352238,"DE"
"19",1984,0.013435357214844,0.00260564294549384,0.0645721621073464,"DE"
"20",1985,0.0125656901624328,0.00266465990301575,0.0539562396220645,"DE"
"21",1986,0.012865209181363,0.00267296812866897,0.0556041397263439,"DE"
"22",1987,0.0126050593828304,0.00265328924657657,0.0525385352920621,"DE"
"23",1988,0.0124843482732366,0.00263057546548581,0.0520254253199761,"DE"
"24",1989,0.0122057389733697,0.00265157416998764,0.059742623290715,"DE"
"25",1990,0.013039479582725,0.00252596313500583,0.0598196627839561,"DE"
"26",1991,0.0131641829724146,0.0025337533104126,0.0566303555111868,"DE"
"27",1992,0.0121032629308605,0.00258706945062221,0.0474349853587753,"DE"
"28",1993,0.0107230633682353,0.00245138603120495,0.0408845064178931,"DE"
"29",1994,0.00989444282930164,0.00242025750346698,0.0339675137247757,"DE"
"30",1995,0.00925659382817349,0.00234979315916508,0.0289898403575994,"DE"
"31",1996,0.0086586580773325,0.00207623273190768,0.0281700348238173,"DE"
"32",1997,0.00815039479851196,0.0021885099772476,0.0225556258483092,"DE"
"33",1998,0.00776081125969981,0.00155934591652344,0.0213109876017758,"DE"
"34",1999,0.0076280167413756,0.00135813262032423,0.0216584129618761,"DE"
"35",2000,0.00747081312997328,0.00136950208013748,0.0208749445932958,"DE"
"36",2001,0.00737953294672436,0.00161746587702531,0.0204594725547901,"DE"
"37",2002,0.00719211174275738,0.00140474859530652,0.0195693866223661,"DE"
"38",2003,0.00693744093718716,0.00163062032384883,0.0186184597930537,"DE"
"39",2004,0.00677638157435561,0.00131923350256997,0.0191156765642483,"DE"
"40",2005,0.00680410961291046,0.00131488043271821,0.0192232360158073,"DE"
"41",2006,0.00669751140591641,0.00115696028875847,0.0183093487485343,"DE"
"42",2007,0.00659940434340332,0.00100385971677902,0.0182268896577003,"DE"
"43",2008,0.00658963239491827,0.000995549637065296,0.0177565865618955,"DE"
"44",2009,0.00655051467704607,0.00125448451157441,0.0175766555674009,"DE"
"45",2010,0.0066255255979134,0.00141350780523715,0.018119438370007,"DE"
"46",2011,0.00664838535604405,0.00143493840054387,0.0181262070753957,"DE"
"47",2012,0.00668396924303625,0.00174663841972303,0.0180937167659581,"DE"
"48",2013,0.0068066746058237,0.00210920804377434,0.0168939627378262,"DE"
"49",2014,0.00715012395191334,0.00219992564291631,0.0187877944101939,"DE"
"50",2015,0.0072961967625948,0.00216315357711154,0.0188922678930847,"DE"
"51",2016,0.00731822603072034,0.00217191258094922,0.0194359976624167,"DE"
"52",2017,0.00753659489706331,0.00223688704012509,0.020093450952203,"DE"
"53",1966,0.0527904047472602,0.00668300836918867,0.188470438546142,"GA"
"54",1967,0.0497961659225766,0.00832723023032591,0.167314133293917,"GA"
"55",1968,0.0472136630436726,0.0101288055362727,0.138300023095995,"GA"
"56",1969,0.0459508964792676,0.0106404512908533,0.118516230466586,"GA"
"57",1970,0.046202270094431,0.0118502842378685,0.115400808830361,"GA"
"58",1971,0.048259691624633,0.0135987810638178,0.113044367565135,"GA"
"59",1972,0.0544656125365968,0.0229016037191604,0.107083198390028,"GA"
"60",1973,0.0698761613308863,0.0345498973892153,0.130535167821313,"GA"
"61",1974,0.117081120582331,0.0657987098260895,0.199248201864771,"GA"
"62",1975,0.165998002479145,0.086408215034165,0.300839577348488,"GA"
"63",1976,0.227708315409835,0.121899426709197,0.385359988465078,"GA"
"64",1977,0.279580394320419,0.158722266439657,0.448903203492376,"GA"
"65",1978,0.231343820792179,0.133206396240999,0.386741892230677,"GA"
"66",1979,0.26076908602412,0.157140392361145,0.437755113640934,"GA"
"67",1980,0.293024594751895,0.164880218407866,0.471088458771277,"GA"
"68",1981,0.299562672373097,0.180049510895694,0.466231881814053,"GA"
"69",1982,0.298201558292659,0.168031914133521,0.490169040427015,"GA"
"70",1983,0.302685376480487,0.161230186643632,0.491828582709544,"GA"
"71",1984,0.355337783845093,0.202859254223222,0.558751684486595,"GA"
"72",1985,0.360529870989803,0.207905132196222,0.570907930566184,"GA"
"73",1986,0.472012430326671,0.305068493861728,0.70655246130547,"GA"
"74",1987,0.459863997662641,0.297419489300786,0.72896233823256,"GA"
"75",1988,0.340448093229222,0.202000675677301,0.551552594048492,"GA"
