"","Year","Index","Q25","Q975","Stratum"
"1",1966,0.00725043990721462,0.00126455652602593,0.0209198634187133,"DE"
"2",1967,0.0075903466904203,0.00107963845424465,0.024152843145742,"DE"
"3",1968,0.00753477334915336,0.0015167383725512,0.022627026922485,"DE"
"4",1969,0.00697406537687138,0.00154379524974726,0.0208907440182424,"DE"
"5",1970,0.00699089153548435,0.00105135957218144,0.0204468740811875,"DE"
"6",1971,0.0070816861941435,0.00139878361760867,0.0193616719041806,"DE"
"7",1972,0.00709037272583209,0.0013965668368042,0.0203037841117715,"DE"
"8",1973,0.00705592751318433,0.00120582087152104,0.0207030560606793,"DE"
"9",1974,0.00700422400174519,0.00160635812990018,0.0207752074715395,"DE"
"10",1975,0.00719400634249759,0.00168308929501165,0.0213705840664046,"DE"
"11",1976,0.00692034466045829,0.00133841235888645,0.0203230742653094,"DE"
"12",1977,0.00701119442588598,0.00143004785275168,0.0228652310068652,"DE"
"13",1978,0.00723023468089293,0.00150541536178736,0.0224803557336574,"DE"
"14",1979,0.00713184920628594,0.0015823746773954,0.0202285732765842,"DE"
"15",1980,0.00778240061797942,0.00164199184176689,0.0230640935925382,"DE"
"16",1981,0.00746641319876394,0.00169160977106253,0.0220117622259806,"DE"
"17",1982,0.00708980182519124,0.0015704342878363,0.020951602290115,"DE"
"18",1983,0.00754971357725677,0.00166104291201639,0.0217904704188333,"DE"
"19",1984,0.00714717558737055,0.00169563544123712,0.0220628959600487,"DE"
"20",1985,0.00770112524092218,0.00141273254966853,0.0244269487274405,"DE"
"21",1986,0.00734534639759571,0.0015277337005433,0.0204184284261973,"DE"
"22",1987,0.00768983115818722,0.00143431319721154,0.0246139494466421,"DE"
"23",1988,0.00717776642062765,0.00150021044750544,0.0200217426324472,"DE"
"24",1989,0.00726293808229808,0.00131282859684865,0.0193929219545517,"DE"
"25",1990,0.00738387784977282,0.00151525080262755,0.0190708414232008,"DE"
"26",1991,0.00721527712550613,0.00129174700303441,0.0216562115704151,"DE"
"27",1992,0.00719094295246739,0.00126283231809592,0.0213770922520408,"DE"
"28",1993,0.00737520870762431,0.00173044805379152,0.0233294831069581,"DE"
"29",1994,0.00823217198729357,0.0020204665771159,0.0241804661814171,"DE"
"30",1995,0.00715584496805965,0.00132356725943257,0.0207234055682853,"DE"
"31",1996,0.00710010747922733,0.00119401904385401,0.0214975993230525,"DE"
"32",1997,0.00715231105259276,0.00118416934373331,0.021113254943591,"DE"
"33",1998,0.0069888322702775,0.00133330405935096,0.0202805545187788,"DE"
"34",1999,0.00695649716365028,0.00149610702693064,0.0196557661734995,"DE"
"35",2000,0.00701396179287094,0.00145009638992898,0.0204501373066878,"DE"
"36",2001,0.00730680913152547,0.00155145283131745,0.0197102003246094,"DE"
"37",2002,0.00776347766868233,0.00197962554001969,0.0224266119089867,"DE"
"38",2003,0.0073225741245629,0.00117575567952742,0.0196962017722757,"DE"
"39",2004,0.00741739001516236,0.00135717100929752,0.0202462828450558,"DE"
"40",2005,0.00703180847883971,0.00137024150389576,0.0188195449582942,"DE"
"41",2006,0.00733371451347208,0.00156243277108531,0.020681413968616,"DE"
"42",2007,0.00693676825541365,0.00137113941234889,0.0187933142997573,"DE"
