"","grid2","grid1","dist","pairid","dcat"
"99","38_94","50_110",1835,"38_94.50_110",">1500"
"100","38_93","50_110",1890,"38_93.50_110",">1500"
"101","38_92","50_110",1947,"38_92.50_110",">1500"
"102","38_89","50_110",2124,"38_89.50_110",">1500"
"103","38_88","50_110",2186,"38_88.50_110",">1500"
"104","38_87","50_110",2248,"38_87.50_110",">1500"
"105","38_86","50_110",2311,"38_86.50_110",">1500"
"106","38_85","50_110",2376,"38_85.50_110",">1500"
"107","38_83","50_110",2506,"38_83.50_110",">1500"
"108","38_79","50_110",2774,"38_79.50_110",">1500"
"109","38_78","50_110",2842,"38_78.50_110",">1500"
"110","38_77","50_110",2911,"38_77.50_110",">1500"
"111","38_76","50_110",2980,"38_76.50_110",">1500"
"112","38_75","50_110",3049,"38_75.50_110",">1500"
"113","37_102","50_110",1578,"37_102.50_110",">1500"
"114","37_101","50_110",1612,"37_101.50_110",">1500"
"115","37_100","50_110",1649,"37_100.50_110",">1500"
"116","37_99","50_110",1688,"37_99.50_110",">1500"
"117","37_98","50_110",1731,"37_98.50_110",">1500"
"118","37_93","50_110",1977,"37_93.50_110",">1500"
"119","37_89","50_110",2205,"37_89.50_110",">1500"
"120","37_88","50_110",2265,"37_88.50_110",">1500"
"121","37_87","50_110",2326,"37_87.50_110",">1500"
"122","37_85","50_110",2452,"37_85.50_110",">1500"
"123","37_79","50_110",2845,"37_79.50_110",">1500"
"124","37_78","50_110",2913,"37_78.50_110",">1500"
"125","37_76","50_110",3049,"37_76.50_110",">1500"
"126","36_101","50_110",1714,"36_101.50_110",">1500"
"127","36_100","50_110",1749,"36_100.50_110",">1500"
"128","36_97","50_110",1871,"36_97.50_110",">1500"
"129","36_96","50_110",1917,"36_96.50_110",">1500"
"130","36_95","50_110",1965,"36_95.50_110",">1500"
"131","36_82","50_110",2721,"36_82.50_110",">1500"
"132","35_102","50_110",1787,"35_102.50_110",">1500"
"133","35_101","50_110",1818,"35_101.50_110",">1500"
"134","35_99","50_110",1888,"35_99.50_110",">1500"
"135","35_79","50_110",2993,"35_79.50_110",">1500"
"136","34_101","50_110",1922,"34_101.50_110",">1500"
"137","34_82","50_110",2879,"34_82.50_110",">1500"
"138","50_110","49_107",242,"50_110.49_107","100-300"
"139","48_103","49_107",313,"48_103.49_107","301-500"
"140","48_102","49_107",382,"48_102.49_107","301-500"
"141","48_101","49_107",453,"48_101.49_107","301-500"
"142","48_100","49_107",524,"48_100.49_107","501-700"
"143","47_108","49_107",234,"47_108.49_107","100-300"
"144","47_103","49_107",370,"47_103.49_107","301-500"
"145","47_102","49_107",431,"47_102.49_107","301-500"
"146","47_101","49_107",496,"47_101.49_107","301-500"
"147","47_100","49_107",563,"47_100.49_107","501-700"
"148","47_99","49_107",631,"47_99.49_107","501-700"
"149","47_98","49_107",701,"47_98.49_107","701-900"
"150","46_103","49_107",448,"46_103.49_107","301-500"
"151","46_102","49_107",500,"46_102.49_107","301-500"
"152","46_101","49_107",558,"46_101.49_107","501-700"
"153","46_100","49_107",619,"46_100.49_107","501-700"
