"","grid2","grid1","dist","pairid","dcat"
"1699","40_101","47_98",814,"40_101.47_98","701-900"
"1700","40_99","47_98",782,"40_99.47_98","701-900"
"1701","40_96","47_98",794,"40_96.47_98","701-900"
"1702","40_94","47_98",841,"40_94.47_98","701-900"
"1703","40_92","47_98",914,"40_92.47_98","901-1100"
"1704","40_91","47_98",958,"40_91.47_98","901-1100"
"1705","40_90","47_98",1007,"40_90.47_98","901-1100"
"1706","40_89","47_98",1060,"40_89.47_98","901-1100"
"1707","40_84","47_98",1363,"40_84.47_98","1301-1500"
"1708","40_83","47_98",1429,"40_83.47_98","1301-1500"
"1709","40_79","47_98",1705,"40_79.47_98",">1500"
"1710","40_77","47_98",1847,"40_77.47_98",">1500"
"1711","40_76","47_98",1920,"40_76.47_98",">1500"
"1712","40_75","47_98",1992,"40_75.47_98",">1500"
"1713","39_103","47_98",976,"39_103.47_98","901-1100"
"1714","39_102","47_98",946,"39_102.47_98","901-1100"
"1715","39_101","47_98",921,"39_101.47_98","901-1100"
"1716","39_100","47_98",903,"39_100.47_98","901-1100"
"1717","39_99","47_98",892,"39_99.47_98","701-900"
"1718","39_98","47_98",889,"39_98.47_98","701-900"
"1719","39_97","47_98",892,"39_97.47_98","701-900"
"1720","39_96","47_98",903,"39_96.47_98","901-1100"
"1721","39_94","47_98",946,"39_94.47_98","901-1100"
"1722","39_93","47_98",976,"39_93.47_98","901-1100"
"1723","39_92","47_98",1012,"39_92.47_98","901-1100"
"1724","39_91","47_98",1053,"39_91.47_98","901-1100"
"1725","39_90","47_98",1098,"39_90.47_98","901-1100"
"1726","39_89","47_98",1147,"39_89.47_98","1101-1300"
"1727","39_88","47_98",1200,"39_88.47_98","1101-1300"
"1728","39_83","47_98",1500,"39_83.47_98","1301-1500"
"1729","39_79","47_98",1768,"39_79.47_98",">1500"
"1730","39_78","47_98",1838,"39_78.47_98",">1500"
"1731","39_77","47_98",1908,"39_77.47_98",">1500"
"1732","39_76","47_98",1979,"39_76.47_98",">1500"
"1733","39_75","47_98",2051,"39_75.47_98",">1500"
"1734","38_103","47_98",1079,"38_103.47_98","901-1100"
"1735","38_102","47_98",1051,"38_102.47_98","901-1100"
"1736","38_101","47_98",1029,"38_101.47_98","901-1100"
"1737","38_100","47_98",1013,"38_100.47_98","901-1100"
"1738","38_99","47_98",1003,"38_99.47_98","901-1100"
"1739","38_98","47_98",1000,"38_98.47_98","901-1100"
"1740","38_97","47_98",1003,"38_97.47_98","901-1100"
"1741","38_96","47_98",1013,"38_96.47_98","901-1100"
"1742","38_95","47_98",1029,"38_95.47_98","901-1100"
"1743","38_94","47_98",1051,"38_94.47_98","901-1100"
"1744","38_93","47_98",1079,"38_93.47_98","901-1100"
"1745","38_92","47_98",1112,"38_92.47_98","1101-1300"
"1746","38_89","47_98",1238,"38_89.47_98","1101-1300"
"1747","38_88","47_98",1288,"38_88.47_98","1101-1300"
"1748","38_87","47_98",1341,"38_87.47_98","1301-1500"
"1749","38_86","47_98",1396,"38_86.47_98","1301-1500"
"1750","38_85","47_98",1454,"38_85.47_98","1301-1500"
"1751","38_83","47_98",1575,"38_83.47_98",">1500"
"1752","38_79","47_98",1836,"38_79.47_98",">1500"
"1753","38_78","47_98",1904,"38_78.47_98",">1500"
"1754","38_77","47_98",1973,"38_77.47_98",">1500"
"1755","38_76","47_98",2043,"38_76.47_98",">1500"
"1756","38_75","47_98",2114,"38_75.47_98",">1500"
"1757","37_102","47_98",1158,"37_102.47_98","1101-1300"
"1758","37_101","47_98",1138,"37_101.47_98","1101-1300"
"1759","37_100","47_98",1123,"37_100.47_98","1101-1300"
"1760","37_99","47_98",1114,"37_99.47_98","1101-1300"
"1761","37_98","47_98",1111,"37_98.47_98","1101-1300"
"1762","37_93","47_98",1184,"37_93.47_98","1101-1300"
"1763","37_89","47_98",1333,"37_89.47_98","1301-1500"
"1764","37_88","47_98",1379,"37_88.47_98","1301-1500"
"1765","37_87","47_98",1429,"37_87.47_98","1301-1500"
"1766","37_85","47_98",1537,"37_85.47_98",">1500"
"1767","37_79","47_98",1908,"37_79.47_98",">1500"
"1768","37_78","47_98",1975,"37_78.47_98",">1500"
"1769","37_76","47_98",2111,"37_76.47_98",">1500"
"1770","36_101","47_98",1247,"36_101.47_98","1101-1300"
"1771","36_100","47_98",1233,"36_100.47_98","1101-1300"
"1772","36_97","47_98",1225,"36_97.47_98","1101-1300"
"1773","36_96","47_98",1233,"36_96.47_98","1101-1300"
"1774","36_95","47_98",1247,"36_95.47_98","1101-1300"
"1775","36_82","47_98",1796,"36_82.47_98",">1500"
"1776","35_102","47_98",1373,"35_102.47_98","1301-1500"
"1777","35_101","47_98",1356,"35_101.47_98","1301-1500"
"1778","35_99","47_98",1335,"35_99.47_98","1301-1500"
"1779","35_79","47_98",2062,"35_79.47_98",">1500"
"1780","34_101","47_98",1465,"34_101.47_98","1301-1500"
"1781","34_82","47_98",1966,"34_82.47_98",">1500"
"1782","50_110","46_103",682,"50_110.46_103","501-700"
"1783","49_107","46_103",448,"49_107.46_103","301-500"
"1784","48_103","46_103",222,"48_103.46_103","100-300"
"1785","48_102","46_103",235,"48_102.46_103","100-300"
"1786","48_101","46_103",269,"48_101.46_103","100-300"
"1787","48_100","46_103",317,"48_100.46_103","301-500"
"1788","47_108","46_103",396,"47_108.46_103","301-500"
"1789","47_103","46_103",111,"47_103.46_103","100-300"
"1790","47_102","46_103",135,"47_102.46_103","100-300"
"1791","47_101","46_103",188,"47_101.46_103","100-300"
"1792","47_100","46_103",254,"47_100.46_103","100-300"
"1793","47_99","46_103",324,"47_99.46_103","301-500"
"1794","47_98","46_103",396,"47_98.46_103","301-500"
"1795","46_102","46_103",77,"46_102.46_103","<100"
"1796","46_101","46_103",154,"46_101.46_103","100-300"
"1797","46_100","46_103",230,"46_100.46_103","100-300"
"1798","46_99","46_103",307,"46_99.46_103","301-500"
"1799","45_105","46_103",191,"45_105.46_103","100-300"
"1800","45_104","46_103",135,"45_104.46_103","100-300"
"1801","45_103","46_103",111,"45_103.46_103","100-300"
"1802","45_102","46_103",135,"45_102.46_103","100-300"
"1803","45_101","46_103",191,"45_101.46_103","100-300"
"1804","45_100","46_103",258,"45_100.46_103","100-300"
"1805","45_99","46_103",329,"45_99.46_103","301-500"
"1806","45_98","46_103",403,"45_98.46_103","301-500"
"1807","44_102","46_103",236,"44_102.46_103","100-300"
"1808","44_101","46_103",272,"44_101.46_103","100-300"
"1809","44_100","46_103",323,"44_100.46_103","301-500"
"1810","44_99","46_103",384,"44_99.46_103","301-500"
"1811","44_98","46_103",449,"44_98.46_103","301-500"
"1812","44_97","46_103",519,"44_97.46_103","501-700"
"1813","44_89","46_103",1115,"44_89.46_103","1101-1300"
"1814","43_102","46_103",343,"43_102.46_103","301-500"
"1815","43_100","46_103",409,"43_100.46_103","301-500"
"1816","43_99","46_103",459,"43_99.46_103","301-500"
"1817","43_97","46_103",578,"43_97.46_103","501-700"
"1818","43_89","46_103",1151,"43_89.46_103","1101-1300"
"1819","42_103","46_103",444,"42_103.46_103","301-500"
"1820","42_102","46_103",452,"42_102.46_103","301-500"
"1821","42_101","46_103",472,"42_101.46_103","301-500"
"1822","42_99","46_103",546,"42_99.46_103","501-700"
"1823","42_98","46_103",596,"42_98.46_103","501-700"
"1824","42_95","46_103",776,"42_95.46_103","701-900"
"1825","42_90","46_103",1124,"42_90.46_103","1101-1300"
"1826","42_89","46_103",1197,"42_89.46_103","1101-1300"
"1827","41_103","46_103",556,"41_103.46_103","501-700"
"1828","41_102","46_103",561,"41_102.46_103","501-700"
"1829","41_101","46_103",578,"41_101.46_103","501-700"
"1830","41_100","46_103",605,"41_100.46_103","501-700"
"1831","41_92","46_103",1041,"41_92.46_103","901-1100"
"1832","41_90","46_103",1179,"41_90.46_103","1101-1300"
"1833","41_76","46_103",2224,"41_76.46_103",">1500"
"1834","40_103","46_103",667,"40_103.46_103","501-700"
"1835","40_102","46_103",671,"40_102.46_103","501-700"
"1836","40_101","46_103",686,"40_101.46_103","501-700"
"1837","40_99","46_103",741,"40_99.46_103","701-900"
"1838","40_96","46_103",874,"40_96.46_103","701-900"
"1839","40_94","46_103",986,"40_94.46_103","901-1100"
"1840","40_92","46_103",1110,"40_92.46_103","1101-1300"
"1841","40_91","46_103",1175,"40_91.46_103","1101-1300"
"1842","40_90","46_103",1243,"40_90.46_103","1101-1300"
"1843","40_89","46_103",1311,"40_89.46_103","1301-1500"
"1844","40_84","46_103",1670,"40_84.46_103",">1500"
"1845","40_83","46_103",1743,"40_83.46_103",">1500"
"1846","40_79","46_103",2043,"40_79.46_103",">1500"
"1847","40_77","46_103",2194,"40_77.46_103",">1500"
"1848","40_76","46_103",2270,"40_76.46_103",">1500"
"1849","40_75","46_103",2347,"40_75.46_103",">1500"
"1850","39_103","46_103",778,"39_103.46_103","701-900"
"1851","39_102","46_103",782,"39_102.46_103","701-900"
"1852","39_101","46_103",794,"39_101.46_103","701-900"
"1853","39_100","46_103",815,"39_100.46_103","701-900"
"1854","39_99","46_103",843,"39_99.46_103","701-900"
"1855","39_98","46_103",878,"39_98.46_103","701-900"
"1856","39_97","46_103",918,"39_97.46_103","901-1100"
"1857","39_96","46_103",964,"39_96.46_103","901-1100"
"1858","39_94","46_103",1068,"39_94.46_103","901-1100"
"1859","39_93","46_103",1125,"39_93.46_103","1101-1300"
"1860","39_92","46_103",1185,"39_92.46_103","1101-1300"
"1861","39_91","46_103",1247,"39_91.46_103","1101-1300"
"1862","39_90","46_103",1312,"39_90.46_103","1301-1500"
"1863","39_89","46_103",1378,"39_89.46_103","1301-1500"
"1864","39_88","46_103",1446,"39_88.46_103","1301-1500"
"1865","39_83","46_103",1800,"39_83.46_103",">1500"
"1866","39_79","46_103",2095,"39_79.46_103",">1500"
"1867","39_78","46_103",2170,"39_78.46_103",">1500"
"1868","39_77","46_103",2246,"39_77.46_103",">1500"
"1869","39_76","46_103",2321,"39_76.46_103",">1500"
"1870","39_75","46_103",2397,"39_75.46_103",">1500"
"1871","38_103","46_103",889,"38_103.46_103","701-900"
"1872","38_102","46_103",892,"38_102.46_103","701-900"
"1873","38_101","46_103",904,"38_101.46_103","901-1100"
"1874","38_100","46_103",922,"38_100.46_103","901-1100"
"1875","38_99","46_103",947,"38_99.46_103","901-1100"
"1876","38_98","46_103",979,"38_98.46_103","901-1100"
"1877","38_97","46_103",1016,"38_97.46_103","901-1100"
"1878","38_96","46_103",1058,"38_96.46_103","901-1100"
"1879","38_95","46_103",1104,"38_95.46_103","1101-1300"
"1880","38_94","46_103",1155,"38_94.46_103","1101-1300"
"1881","38_93","46_103",1209,"38_93.46_103","1101-1300"
"1882","38_92","46_103",1265,"38_92.46_103","1101-1300"
"1883","38_89","46_103",1450,"38_89.46_103","1301-1500"
"1884","38_88","46_103",1516,"38_88.46_103",">1500"
"1885","38_87","46_103",1583,"38_87.46_103",">1500"
"1886","38_86","46_103",1651,"38_86.46_103",">1500"
"1887","38_85","46_103",1720,"38_85.46_103",">1500"
"1888","38_83","46_103",1861,"38_83.46_103",">1500"
"1889","38_79","46_103",2152,"38_79.46_103",">1500"
"1890","38_78","46_103",2227,"38_78.46_103",">1500"
"1891","38_77","46_103",2301,"38_77.46_103",">1500"
"1892","38_76","46_103",2376,"38_76.46_103",">1500"
"1893","38_75","46_103",2451,"38_75.46_103",">1500"
"1894","37_102","46_103",1003,"37_102.46_103","901-1100"
"1895","37_101","46_103",1013,"37_101.46_103","901-1100"
"1896","37_100","46_103",1030,"37_100.46_103","901-1100"
"1897","37_99","46_103",1053,"37_99.46_103","901-1100"
"1898","37_98","46_103",1082,"37_98.46_103","901-1100"
"1899","37_93","46_103",1296,"37_93.46_103","1101-1300"
"1900","37_89","46_103",1527,"37_89.46_103",">1500"
"1901","37_88","46_103",1590,"37_88.46_103",">1500"
"1902","37_87","46_103",1655,"37_87.46_103",">1500"
"1903","37_85","46_103",1789,"37_85.46_103",">1500"
"1904","37_79","46_103",2213,"37_79.46_103",">1500"
"1905","37_78","46_103",2287,"37_78.46_103",">1500"
"1906","37_76","46_103",2434,"37_76.46_103",">1500"
"1907","36_101","46_103",1123,"36_101.46_103","1101-1300"
"1908","36_100","46_103",1138,"36_100.46_103","1101-1300"
"1909","36_97","46_103",1217,"36_97.46_103","1101-1300"
"1910","36_96","46_103",1254,"36_96.46_103","1101-1300"
"1911","36_95","46_103",1294,"36_95.46_103","1101-1300"
"1912","36_82","46_103",2066,"36_82.46_103",">1500"
"1913","35_102","46_103",1224,"35_102.46_103","1101-1300"
"1914","35_101","46_103",1233,"35_101.46_103","1101-1300"
"1915","35_99","46_103",1267,"35_99.46_103","1101-1300"
"1916","35_79","46_103",2346,"35_79.46_103",">1500"
"1917","34_101","46_103",1343,"34_101.46_103","1301-1500"
"1918","34_82","46_103",2212,"34_82.46_103",">1500"
"1919","50_110","46_102",739,"50_110.46_102","701-900"
"1920","49_107","46_102",500,"49_107.46_102","301-500"
"1921","48_103","46_102",235,"48_103.46_102","100-300"
"1922","48_102","46_102",222,"48_102.46_102","100-300"
"1923","48_101","46_102",235,"48_101.46_102","100-300"
"1924","48_100","46_102",269,"48_100.46_102","100-300"
"1925","47_108","46_102",470,"47_108.46_102","301-500"
"1926","47_103","46_102",135,"47_103.46_102","100-300"
"1927","47_102","46_102",111,"47_102.46_102","100-300"
"1928","47_101","46_102",135,"47_101.46_102","100-300"
"1929","47_100","46_102",188,"47_100.46_102","100-300"
"1930","47_99","46_102",254,"47_99.46_102","100-300"
"1931","47_98","46_102",324,"47_98.46_102","301-500"
"1932","46_103","46_102",77,"46_103.46_102","<100"
"1933","46_101","46_102",77,"46_101.46_102","<100"
"1934","46_100","46_102",154,"46_100.46_102","100-300"
"1935","46_99","46_102",230,"46_99.46_102","100-300"
"1936","45_105","46_102",258,"45_105.46_102","100-300"
"1937","45_104","46_102",191,"45_104.46_102","100-300"
"1938","45_103","46_102",135,"45_103.46_102","100-300"
"1939","45_102","46_102",111,"45_102.46_102","100-300"
"1940","45_101","46_102",135,"45_101.46_102","100-300"
"1941","45_100","46_102",191,"45_100.46_102","100-300"
"1942","45_99","46_102",258,"45_99.46_102","100-300"
"1943","45_98","46_102",329,"45_98.46_102","301-500"
"1944","44_102","46_102",222,"44_102.46_102","100-300"
"1945","44_101","46_102",236,"44_101.46_102","100-300"
"1946","44_100","46_102",272,"44_100.46_102","100-300"
"1947","44_99","46_102",323,"44_99.46_102","301-500"
"1948","44_98","46_102",384,"44_98.46_102","301-500"
"1949","44_97","46_102",449,"44_97.46_102","301-500"
"1950","44_89","46_102",1039,"44_89.46_102","901-1100"
"1951","43_102","46_102",333,"43_102.46_102","301-500"
"1952","43_100","46_102",369,"43_100.46_102","301-500"
"1953","43_99","46_102",409,"43_99.46_102","301-500"
"1954","43_97","46_102",516,"43_97.46_102","501-700"
"1955","43_89","46_102",1076,"43_89.46_102","901-1100"
"1956","42_103","46_102",452,"42_103.46_102","301-500"
"1957","42_102","46_102",444,"42_102.46_102","301-500"
"1958","42_101","46_102",452,"42_101.46_102","301-500"
"1959","42_99","46_102",504,"42_99.46_102","501-700"
"1960","42_98","46_102",546,"42_98.46_102","501-700"
"1961","42_95","46_102",712,"42_95.46_102","701-900"
"1962","42_90","46_102",1051,"42_90.46_102","901-1100"
"1963","42_89","46_102",1124,"42_89.46_102","1101-1300"
"1964","41_103","46_102",561,"41_103.46_102","501-700"
"1965","41_102","46_102",556,"41_102.46_102","501-700"
"1966","41_101","46_102",561,"41_101.46_102","501-700"
"1967","41_100","46_102",578,"41_100.46_102","501-700"
"1968","41_92","46_102",974,"41_92.46_102","901-1100"
"1969","41_90","46_102",1110,"41_90.46_102","1101-1300"
"1970","41_76","46_102",2147,"41_76.46_102",">1500"
"1971","40_103","46_102",671,"40_103.46_102","501-700"
"1972","40_102","46_102",667,"40_102.46_102","501-700"
"1973","40_101","46_102",671,"40_101.46_102","501-700"
"1974","40_99","46_102",709,"40_99.46_102","701-900"
"1975","40_96","46_102",824,"40_96.46_102","701-900"
"1976","40_94","46_102",928,"40_94.46_102","901-1100"
"1977","40_92","46_102",1047,"40_92.46_102","901-1100"
"1978","40_91","46_102",1110,"40_91.46_102","1101-1300"
"1979","40_90","46_102",1175,"40_90.46_102","1101-1300"
"1980","40_89","46_102",1243,"40_89.46_102","1101-1300"
"1981","40_84","46_102",1596,"40_84.46_102",">1500"
"1982","40_83","46_102",1670,"40_83.46_102",">1500"
"1983","40_79","46_102",1967,"40_79.46_102",">1500"
"1984","40_77","46_102",2118,"40_77.46_102",">1500"
"1985","40_76","46_102",2194,"40_76.46_102",">1500"
"1986","40_75","46_102",2270,"40_75.46_102",">1500"
"1987","39_103","46_102",782,"39_103.46_102","701-900"
"1988","39_102","46_102",778,"39_102.46_102","701-900"
"1989","39_101","46_102",782,"39_101.46_102","701-900"
"1990","39_100","46_102",794,"39_100.46_102","701-900"
"1991","39_99","46_102",815,"39_99.46_102","701-900"
"1992","39_98","46_102",843,"39_98.46_102","701-900"
"1993","39_97","46_102",878,"39_97.46_102","701-900"
"1994","39_96","46_102",918,"39_96.46_102","901-1100"
"1995","39_94","46_102",1014,"39_94.46_102","901-1100"
"1996","39_93","46_102",1068,"39_93.46_102","901-1100"
"1997","39_92","46_102",1125,"39_92.46_102","1101-1300"
"1998","39_91","46_102",1185,"39_91.46_102","1101-1300"
"1999","39_90","46_102",1247,"39_90.46_102","1101-1300"
"2000","39_89","46_102",1312,"39_89.46_102","1301-1500"
"2001","39_88","46_102",1378,"39_88.46_102","1301-1500"
"2002","39_83","46_102",1727,"39_83.46_102",">1500"
"2003","39_79","46_102",2021,"39_79.46_102",">1500"
"2004","39_78","46_102",2095,"39_78.46_102",">1500"
"2005","39_77","46_102",2170,"39_77.46_102",">1500"
"2006","39_76","46_102",2246,"39_76.46_102",">1500"
"2007","39_75","46_102",2321,"39_75.46_102",">1500"
"2008","38_103","46_102",892,"38_103.46_102","701-900"
"2009","38_102","46_102",889,"38_102.46_102","701-900"
"2010","38_101","46_102",892,"38_101.46_102","701-900"
"2011","38_100","46_102",904,"38_100.46_102","901-1100"
"2012","38_99","46_102",922,"38_99.46_102","901-1100"
"2013","38_98","46_102",947,"38_98.46_102","901-1100"
"2014","38_97","46_102",979,"38_97.46_102","901-1100"
"2015","38_96","46_102",1016,"38_96.46_102","901-1100"
"2016","38_95","46_102",1058,"38_95.46_102","901-1100"
"2017","38_94","46_102",1104,"38_94.46_102","1101-1300"
"2018","38_93","46_102",1155,"38_93.46_102","1101-1300"
"2019","38_92","46_102",1209,"38_92.46_102","1101-1300"
"2020","38_89","46_102",1387,"38_89.46_102","1301-1500"
"2021","38_88","46_102",1450,"38_88.46_102","1301-1500"
"2022","38_87","46_102",1516,"38_87.46_102",">1500"
"2023","38_86","46_102",1583,"38_86.46_102",">1500"
"2024","38_85","46_102",1651,"38_85.46_102",">1500"
"2025","38_83","46_102",1790,"38_83.46_102",">1500"
"2026","38_79","46_102",2079,"38_79.46_102",">1500"
"2027","38_78","46_102",2152,"38_78.46_102",">1500"
"2028","38_77","46_102",2227,"38_77.46_102",">1500"
"2029","38_76","46_102",2301,"38_76.46_102",">1500"
"2030","38_75","46_102",2376,"38_75.46_102",">1500"
"2031","37_102","46_102",1000,"37_102.46_102","901-1100"
"2032","37_101","46_102",1003,"37_101.46_102","901-1100"
"2033","37_100","46_102",1013,"37_100.46_102","901-1100"
"2034","37_99","46_102",1030,"37_99.46_102","901-1100"
"2035","37_98","46_102",1053,"37_98.46_102","901-1100"
"2036","37_93","46_102",1245,"37_93.46_102","1101-1300"
"2037","37_89","46_102",1466,"37_89.46_102","1301-1500"
"2038","37_88","46_102",1527,"37_88.46_102",">1500"
"2039","37_87","46_102",1590,"37_87.46_102",">1500"
"2040","37_85","46_102",1721,"37_85.46_102",">1500"
"2041","37_79","46_102",2141,"37_79.46_102",">1500"
"2042","37_78","46_102",2213,"37_78.46_102",">1500"
"2043","37_76","46_102",2360,"37_76.46_102",">1500"
"2044","36_101","46_102",1114,"36_101.46_102","1101-1300"
"2045","36_100","46_102",1123,"36_100.46_102","1101-1300"
"2046","36_97","46_102",1186,"36_97.46_102","1101-1300"
"2047","36_96","46_102",1217,"36_96.46_102","1101-1300"
"2048","36_95","46_102",1254,"36_95.46_102","1101-1300"
"2049","36_82","46_102",1996,"36_82.46_102",">1500"
"2050","35_102","46_102",1222,"35_102.46_102","1101-1300"
"2051","35_101","46_102",1224,"35_101.46_102","1101-1300"
"2052","35_99","46_102",1247,"35_99.46_102","1101-1300"
"2053","35_79","46_102",2275,"35_79.46_102",">1500"
"2054","34_101","46_102",1335,"34_101.46_102","1301-1500"
"2055","34_82","46_102",2146,"34_82.46_102",">1500"
"2056","50_110","46_101",799,"50_110.46_101","701-900"
"2057","49_107","46_101",558,"49_107.46_101","501-700"
"2058","48_103","46_101",269,"48_103.46_101","100-300"
"2059","48_102","46_101",235,"48_102.46_101","100-300"
"2060","48_101","46_101",222,"48_101.46_101","100-300"
"2061","48_100","46_101",235,"48_100.46_101","100-300"
"2062","47_108","46_101",544,"47_108.46_101","501-700"
"2063","47_103","46_101",188,"47_103.46_101","100-300"
"2064","47_102","46_101",135,"47_102.46_101","100-300"
"2065","47_101","46_101",111,"47_101.46_101","100-300"
"2066","47_100","46_101",135,"47_100.46_101","100-300"
"2067","47_99","46_101",188,"47_99.46_101","100-300"
"2068","47_98","46_101",254,"47_98.46_101","100-300"
"2069","46_103","46_101",154,"46_103.46_101","100-300"
"2070","46_102","46_101",77,"46_102.46_101","<100"
"2071","46_100","46_101",77,"46_100.46_101","<100"
"2072","46_99","46_101",154,"46_99.46_101","100-300"
"2073","45_105","46_101",329,"45_105.46_101","301-500"
"2074","45_104","46_101",258,"45_104.46_101","100-300"
"2075","45_103","46_101",191,"45_103.46_101","100-300"
"2076","45_102","46_101",135,"45_102.46_101","100-300"
"2077","45_101","46_101",111,"45_101.46_101","100-300"
"2078","45_100","46_101",135,"45_100.46_101","100-300"
"2079","45_99","46_101",191,"45_99.46_101","100-300"
"2080","45_98","46_101",258,"45_98.46_101","100-300"
"2081","44_102","46_101",236,"44_102.46_101","100-300"
"2082","44_101","46_101",222,"44_101.46_101","100-300"
"2083","44_100","46_101",236,"44_100.46_101","100-300"
"2084","44_99","46_101",272,"44_99.46_101","100-300"
"2085","44_98","46_101",323,"44_98.46_101","301-500"
"2086","44_97","46_101",384,"44_97.46_101","301-500"
"2087","44_89","46_101",963,"44_89.46_101","901-1100"
"2088","43_102","46_101",343,"43_102.46_101","301-500"
"2089","43_100","46_101",343,"43_100.46_101","301-500"
"2090","43_99","46_101",369,"43_99.46_101","301-500"
"2091","43_97","46_101",459,"43_97.46_101","301-500"
"2092","43_89","46_101",1002,"43_89.46_101","901-1100"
"2093","42_103","46_101",472,"42_103.46_101","301-500"
"2094","42_102","46_101",452,"42_102.46_101","301-500"
"2095","42_101","46_101",444,"42_101.46_101","301-500"
"2096","42_99","46_101",472,"42_99.46_101","301-500"
"2097","42_98","46_101",504,"42_98.46_101","501-700"
"2098","42_95","46_101",652,"42_95.46_101","501-700"
"2099","42_90","46_101",980,"42_90.46_101","901-1100"
"2100","42_89","46_101",1051,"42_89.46_101","901-1100"
"2101","41_103","46_101",578,"41_103.46_101","501-700"
"2102","41_102","46_101",561,"41_102.46_101","501-700"
"2103","41_101","46_101",556,"41_101.46_101","501-700"
"2104","41_100","46_101",561,"41_100.46_101","501-700"
"2105","41_92","46_101",910,"41_92.46_101","901-1100"
"2106","41_90","46_101",1041,"41_90.46_101","901-1100"
"2107","41_76","46_101",2071,"41_76.46_101",">1500"
"2108","40_103","46_101",686,"40_103.46_101","501-700"
"2109","40_102","46_101",671,"40_102.46_101","501-700"
"2110","40_101","46_101",667,"40_101.46_101","501-700"
"2111","40_99","46_101",686,"40_99.46_101","501-700"
"2112","40_96","46_101",779,"40_96.46_101","701-900"
"2113","40_94","46_101",874,"40_94.46_101","701-900"
"2114","40_92","46_101",986,"40_92.46_101","901-1100"
"2115","40_91","46_101",1047,"40_91.46_101","901-1100"
"2116","40_90","46_101",1110,"40_90.46_101","1101-1300"
"2117","40_89","46_101",1175,"40_89.46_101","1101-1300"
"2118","40_84","46_101",1524,"40_84.46_101",">1500"
"2119","40_83","46_101",1596,"40_83.46_101",">1500"
"2120","40_79","46_101",1892,"40_79.46_101",">1500"
"2121","40_77","46_101",2043,"40_77.46_101",">1500"
"2122","40_76","46_101",2118,"40_76.46_101",">1500"
"2123","40_75","46_101",2194,"40_75.46_101",">1500"
"2124","39_103","46_101",794,"39_103.46_101","701-900"
"2125","39_102","46_101",782,"39_102.46_101","701-900"
"2126","39_101","46_101",778,"39_101.46_101","701-900"
"2127","39_100","46_101",782,"39_100.46_101","701-900"
"2128","39_99","46_101",794,"39_99.46_101","701-900"
"2129","39_98","46_101",815,"39_98.46_101","701-900"
"2130","39_97","46_101",843,"39_97.46_101","701-900"
"2131","39_96","46_101",878,"39_96.46_101","701-900"
"2132","39_94","46_101",964,"39_94.46_101","901-1100"
"2133","39_93","46_101",1014,"39_93.46_101","901-1100"
"2134","39_92","46_101",1068,"39_92.46_101","901-1100"
"2135","39_91","46_101",1125,"39_91.46_101","1101-1300"
"2136","39_90","46_101",1185,"39_90.46_101","1101-1300"
"2137","39_89","46_101",1247,"39_89.46_101","1101-1300"
"2138","39_88","46_101",1312,"39_88.46_101","1301-1500"
"2139","39_83","46_101",1656,"39_83.46_101",">1500"
"2140","39_79","46_101",1947,"39_79.46_101",">1500"
"2141","39_78","46_101",2021,"39_78.46_101",">1500"
"2142","39_77","46_101",2095,"39_77.46_101",">1500"
"2143","39_76","46_101",2170,"39_76.46_101",">1500"
"2144","39_75","46_101",2246,"39_75.46_101",">1500"
"2145","38_103","46_101",904,"38_103.46_101","901-1100"
"2146","38_102","46_101",892,"38_102.46_101","701-900"
"2147","38_101","46_101",889,"38_101.46_101","701-900"
"2148","38_100","46_101",892,"38_100.46_101","701-900"
"2149","38_99","46_101",904,"38_99.46_101","901-1100"
"2150","38_98","46_101",922,"38_98.46_101","901-1100"
"2151","38_97","46_101",947,"38_97.46_101","901-1100"
"2152","38_96","46_101",979,"38_96.46_101","901-1100"
"2153","38_95","46_101",1016,"38_95.46_101","901-1100"
"2154","38_94","46_101",1058,"38_94.46_101","901-1100"
"2155","38_93","46_101",1104,"38_93.46_101","1101-1300"
"2156","38_92","46_101",1155,"38_92.46_101","1101-1300"
"2157","38_89","46_101",1325,"38_89.46_101","1301-1500"
"2158","38_88","46_101",1387,"38_88.46_101","1301-1500"
"2159","38_87","46_101",1450,"38_87.46_101","1301-1500"
"2160","38_86","46_101",1516,"38_86.46_101",">1500"
"2161","38_85","46_101",1583,"38_85.46_101",">1500"
"2162","38_83","46_101",1720,"38_83.46_101",">1500"
"2163","38_79","46_101",2006,"38_79.46_101",">1500"
"2164","38_78","46_101",2079,"38_78.46_101",">1500"
"2165","38_77","46_101",2152,"38_77.46_101",">1500"
"2166","38_76","46_101",2227,"38_76.46_101",">1500"
"2167","38_75","46_101",2301,"38_75.46_101",">1500"
"2168","37_102","46_101",1003,"37_102.46_101","901-1100"
"2169","37_101","46_101",1000,"37_101.46_101","901-1100"
"2170","37_100","46_101",1003,"37_100.46_101","901-1100"
"2171","37_99","46_101",1013,"37_99.46_101","901-1100"
"2172","37_98","46_101",1030,"37_98.46_101","901-1100"
"2173","37_93","46_101",1198,"37_93.46_101","1101-1300"
"2174","37_89","46_101",1407,"37_89.46_101","1301-1500"
"2175","37_88","46_101",1466,"37_88.46_101","1301-1500"
"2176","37_87","46_101",1527,"37_87.46_101",">1500"
"2177","37_85","46_101",1655,"37_85.46_101",">1500"
"2178","37_79","46_101",2069,"37_79.46_101",">1500"
