"","pairid","state1","state2","dist","dcat","reg"
"541","HI-KS","KS","HI",5844,">1500","west"
"542","IN-KS","KS","IN",1057,"901-1100","both"
"543","KY-KS","KS","KY",1154,"1101-1300","both"
"544","ME-KS","KS","ME",2520,">1500","both"
"545","MA-KS","KS","MA",2284,">1500","both"
"546","MI-KS","KS","MI",1282,"1101-1300","both"
"547","MT-KS","KS","MT",1321,"1301-1500","west"
"548","NH-KS","KS","NH",2314,">1500","both"
"549","NM-KS","KS","NM",826,"701-900","west"
"550","NC-KS","KS","NC",1720,">1500","both"
"551","OK-KS","KS","OK",331,"301-500","west"
"552","VI-KS","KS","VI",3988,">1500","west"
"553","RI-KS","KS","RI",2303,">1500","both"
"554","TN-KS","KS","TN",1108,"1101-1300","both"
"555","VT-KS","KS","VT",2232,">1500","both"
"556","WA-KS","KS","WA",2043,">1500","west"
"557","WI-KS","KS","WI",976,"901-1100","both"
"558","AS-KS","KS","AS",9511,">1500","west"
"559","GU-KS","KS","GU",11300,">1500","west"
"560","MP-KS","KS","MP",11089,">1500","west"
"561","AZ-LA","LA","AZ",1878,">1500","west"
"562","AR-LA","LA","AR",429,"301-500","west"
"563","CA-LA","LA","CA",2629,">1500","west"
"564","CT-LA","LA","CT",2081,">1500","both"
"565","FL-LA","LA","FL",953,"901-1100","both"
"566","GA-LA","LA","GA",826,"701-900","both"
"567","ID-LA","LA","ID",2474,">1500","west"
"568","IL-LA","LA","IL",1031,"901-1100","both"
"569","IA-LA","LA","IA",1230,"1101-1300","west"
"570","KS-LA","LA","KS",1011,"901-1100","west"
"572","MD-LA","LA","MD",1643,">1500","both"
"573","MN-LA","LA","MN",1706,">1500","west"
"574","MS-LA","LA","MS",289,"100-300","both"
"575","MO-LA","LA","MO",813,"701-900","west"
"576","NE-LA","LA","NE",1357,"1301-1500","west"
"577","NV-LA","LA","NV",2419,">1500","west"
"578","NJ-LA","LA","NJ",1862,">1500","both"
"579","NY-LA","LA","NY",1966,">1500","both"
"580","ND-LA","LA","ND",1959,">1500","west"
"581","OH-LA","LA","OH",1318,"1301-1500","both"
"582","PA-LA","LA","PA",1676,">1500","both"
"583","SC-LA","LA","SC",1088,"901-1100","both"
"584","SD-LA","LA","SD",1652,">1500","west"
"585","TX-LA","LA","TX",703,"701-900","west"
"586","UT-LA","LA","UT",2009,">1500","west"
"587","VA-LA","LA","VA",1401,"1301-1500","both"
"588","WY-LA","LA","WY",1912,">1500","west"
"589","PR-LA","LA","PR",2936,">1500","west"
"590","OR-LA","LA","OR",2882,">1500","west"
"591","WV-LA","LA","WV",1336,"1301-1500","both"
"592","AL-LA","LA","AL",524,"501-700","both"
"593","AK-LA","LA","AK",5541,">1500","west"
"594","CO-LA","LA","CO",1517,">1500","west"
"595","DE-LA","LA","DE",1739,">1500","both"
"596","DC-LA","LA","DC",1617,">1500","west"
"597","HI-LA","LA","HI",6439,">1500","west"
"598","IN-LA","LA","IN",1110,"1101-1300","both"
"599","KY-LA","LA","KY",945,"901-1100","both"
"600","ME-LA","LA","ME",2533,">1500","both"
"601","MA-LA","LA","MA",2181,">1500","both"
"602","MI-LA","LA","MI",1524,">1500","both"
"603","MT-LA","LA","MT",2331,">1500","west"
"604","NH-LA","LA","NH",2276,">1500","both"
"605","NM-LA","LA","NM",1375,"1301-1500","west"
"606","NC-LA","LA","NC",1275,"1101-1300","both"
"607","OK-LA","LA","OK",719,"701-900","west"
"608","VI-LA","LA","VI",3117,">1500","west"
"609","RI-LA","LA","RI",2169,">1500","both"
"610","TN-LA","LA","TN",746,"701-900","both"
"611","VT-LA","LA","VT",2226,">1500","both"
"612","WA-LA","LA","WA",3025,">1500","west"
"613","WI-LA","LA","WI",1517,">1500","both"
"614","AS-LA","LA","AS",9783,">1500","west"
"615","GU-LA","LA","GU",12213,">1500","west"
"616","MP-LA","LA","MP",12007,">1500","west"
"617","AZ-MD","MD","AZ",3144,">1500","both"
"618","AR-MD","MD","AR",1467,"1301-1500","both"
"619","CA-MD","MD","CA",3726,">1500","both"
"620","CT-MD","MD","CT",448,"301-500","east"
"621","FL-MD","MD","FL",1268,"1101-1300","east"
"622","GA-MD","MD","GA",930,"901-1100","east"
"623","ID-MD","MD","ID",3179,">1500","both"
"624","IL-MD","MD","IL",1074,"901-1100","east"
"625","IA-MD","MD","IA",1454,"1301-1500","both"
"626","KS-MD","MD","KS",1875,">1500","both"
"627","LA-MD","MD","LA",1643,">1500","both"
"629","MN-MD","MD","MN",1644,">1500","both"
"630","MS-MD","MD","MS",1355,"1301-1500","east"
"631","MO-MD","MD","MO",1367,"1301-1500","both"
"632","NE-MD","MD","NE",1973,">1500","both"
"633","NV-MD","MD","NV",3417,">1500","both"
"634","NJ-MD","MD","NJ",221,"100-300","east"
"635","NY-MD","MD","NY",447,"301-500","east"
"636","ND-MD","MD","ND",2128,">1500","both"
"637","OH-MD","MD","OH",535,"501-700","east"
"638","PA-MD","MD","PA",222,"100-300","east"
"639","SC-MD","MD","SC",678,"501-700","east"
"640","SD-MD","MD","SD",2034,">1500","both"
"641","TX-MD","MD","TX",2211,">1500","both"
"642","UT-MD","MD","UT",2998,">1500","both"
"643","VA-MD","MD","VA",250,"100-300","east"
"644","WY-MD","MD","WY",2611,">1500","both"
"645","PR-MD","MD","PR",2512,">1500","both"
"646","OR-MD","MD","OR",3654,">1500","both"
"647","WV-MD","MD","WV",337,"301-500","east"
"648","AL-MD","MD","AL",1141,"1101-1300","east"
"649","AK-MD","MD","AK",5515,">1500","both"
"650","CO-MD","MD","CO",2482,">1500","both"
"651","DE-MD","MD","DE",110,"100-300","east"
"652","DC-MD","MD","DC",26,"<100","both"
"653","HI-MD","MD","HI",7714,">1500","both"
"654","IN-MD","MD","IN",823,"701-900","east"
"655","KY-MD","MD","KY",764,"701-900","east"
"656","ME-MD","MD","ME",939,"901-1100","east"
"657","MA-MD","MD","MA",551,"501-700","east"
"658","MI-MD","MD","MI",822,"701-900","east"
"659","MT-MD","MD","MT",2799,">1500","both"
"660","NH-MD","MD","NH",675,"501-700","east"
"661","NM-MD","MD","NM",2658,">1500","both"
"662","NC-MD","MD","NC",451,"301-500","east"
"663","OK-MD","MD","OK",1874,">1500","both"
"664","VI-MD","MD","VI",2632,">1500","both"
"665","RI-MD","MD","RI",530,"501-700","east"
"666","TN-MD","MD","TN",918,"901-1100","east"
"667","VT-MD","MD","VT",656,"501-700","east"
"668","WA-MD","MD","WA",3616,">1500","both"
"669","WI-MD","MD","WI",1261,"1101-1300","east"
"670","AS-MD","MD","AS",11336,">1500","both"
"671","GU-MD","MD","GU",12779,">1500","both"
"672","MP-MD","MD","MP",12560,">1500","both"
"673","AZ-MN","MN","AZ",1982,">1500","west"
"674","AR-MN","MN","AR",1278,"1101-1300","west"
"675","CA-MN","MN","CA",2318,">1500","west"
"676","CT-MN","MN","CT",1802,">1500","both"
"677","FL-MN","MN","FL",2216,">1500","both"
"678","GA-MN","MN","GA",1778,">1500","both"
"679","ID-MN","MN","ID",1604,">1500","west"
"680","IL-MN","MN","IL",809,"701-900","both"
"681","IA-MN","MN","IA",476,"301-500","west"
"682","KS-MN","MN","KS",932,"901-1100","west"
"683","LA-MN","MN","LA",1706,">1500","west"
"684","MD-MN","MN","MD",1644,">1500","both"
"686","MS-MN","MN","MS",1557,">1500","both"
"687","MO-MN","MN","MO",896,"701-900","west"
"688","NE-MN","MN","NE",691,"501-700","west"
"689","NV-MN","MN","NV",1975,">1500","west"
"690","NJ-MN","MN","NJ",1729,">1500","both"
"691","NY-MN","MN","NY",1534,">1500","both"
"692","ND-MN","MN","ND",486,"301-500","west"
"693","OH-MN","MN","OH",1148,"1101-1300","both"
"694","PA-MN","MN","PA",1460,"1301-1500","both"
"695","SC-MN","MN","SC",1785,">1500","both"
"696","SD-MN","MN","SD",509,"501-700","west"
"697","TX-MN","MN","TX",1703,">1500","west"
"698","UT-MN","MN","UT",1614,">1500","west"
"699","VA-MN","MN","VA",1606,">1500","both"
"700","WY-MN","MN","WY",1111,"1101-1300","west"
"701","PR-MN","MN","PR",4029,">1500","west"
"702","OR-MN","MN","OR",2072,">1500","west"
"703","WV-MN","MN","WV",1409,"1301-1500","both"
"704","AL-MN","MN","AL",1632,">1500","both"
"705","AK-MN","MN","AK",4019,">1500","west"
"706","CO-MN","MN","CO",1227,"1101-1300","west"
"707","DE-MN","MN","DE",1738,">1500","both"
"708","DC-MN","MN","DC",1635,">1500","west"
"709","HI-MN","MN","HI",6258,">1500","west"
"710","IN-MN","MN","IN",966,"901-1100","both"
"711","KY-MN","MN","KY",1228,"1101-1300","both"
"712","ME-MN","MN","ME",1943,">1500","both"
"713","MA-MN","MN","MA",1843,">1500","both"
"714","MI-MN","MN","MI",827,"701-900","both"
"715","MT-MN","MN","MT",1174,"1101-1300","west"
"716","NH-MN","MN","NH",1809,">1500","both"
"717","NM-MN","MN","NM",1654,">1500","west"
"718","NC-MN","MN","NC",1731,">1500","both"
"719","OK-MN","MN","OK",1222,"1101-1300","west"
"720","VI-MN","MN","VI",4175,">1500","west"
"721","RI-MN","MN","RI",1886,">1500","both"
"722","TN-MN","MN","TN",1340,"1301-1500","both"
"723","VT-MN","MN","VT",1714,">1500","both"
"724","WA-MN","MN","WA",1987,">1500","west"
"725","WI-MN","MN","WI",384,"301-500","both"
"726","AS-MN","MN","AS",10133,">1500","west"
"727","GU-MN","MN","GU",11156,">1500","west"
"728","MP-MN","MN","MP",10938,">1500","west"
"729","AZ-MS","MS","AZ",2047,">1500","both"
"730","AR-MS","MS","AR",350,"301-500","both"
"731","CA-MS","MS","CA",2767,">1500","both"
"732","CT-MS","MS","CT",1792,">1500","east"
"733","FL-MS","MS","FL",823,"701-900","east"
"734","GA-MS","MS","GA",583,"501-700","east"
"735","ID-MS","MS","ID",2517,">1500","both"
"736","IL-MS","MS","IL",813,"701-900","east"
"737","IA-MS","MS","IA",1089,"901-1100","both"
"738","KS-MS","MS","KS",1013,"901-1100","both"
"739","LA-MS","MS","LA",289,"100-300","both"
"740","MD-MS","MS","MD",1355,"1301-1500","east"
"741","MN-MS","MS","MN",1557,">1500","both"
"743","MO-MS","MS","MO",673,"501-700","both"
"744","NE-MS","MS","NE",1325,"1301-1500","both"
"745","NV-MS","MS","NV",2529,">1500","both"
"746","NJ-MS","MS","NJ",1574,">1500","east"
"747","NY-MS","MS","NY",1679,">1500","east"
"748","ND-MS","MS","ND",1870,">1500","both"
"749","OH-MS","MS","OH",1038,"901-1100","east"
"750","PA-MS","MS","PA",1388,"1301-1500","east"
"751","SC-MS","MS","SC",826,"701-900","east"
"752","SD-MS","MS","SD",1588,">1500","both"
"753","TX-MS","MS","TX",924,"901-1100","both"
"754","UT-MS","MS","UT",2107,">1500","both"
"755","VA-MS","MS","VA",1115,"1101-1300","east"
"756","WY-MS","MS","WY",1935,">1500","both"
"757","PR-MS","MS","PR",2822,">1500","both"
"758","OR-MS","MS","OR",2949,">1500","both"
"759","WV-MS","MS","WV",1047,"901-1100","east"
"760","AL-MS","MS","AL",266,"100-300","east"
"761","AK-MS","MS","AK",5488,">1500","both"
"762","CO-MS","MS","CO",1590,">1500","both"
"763","DE-MS","MS","DE",1452,"1301-1500","east"
"764","DC-MS","MS","DC",1329,"1301-1500","both"
"765","HI-MS","MS","HI",6641,">1500","both"
"766","IN-MS","MS","IN",850,"701-900","east"
"767","KY-MS","MS","KY",663,"501-700","east"
"768","ME-MS","MS","ME",2245,">1500","east"
"769","MA-MS","MS","MA",1892,">1500","east"
"770","MI-MS","MS","MI",1270,"1101-1300","east"
"771","MT-MS","MS","MT",2319,">1500","both"
"772","NH-MS","MS","NH",1988,">1500","east"
"773","NM-MS","MS","NM",1536,">1500","both"
"774","NC-MS","MS","NC",999,"901-1100","east"
"775","OK-MS","MS","OK",788,"701-900","both"
"776","VI-MS","MS","VI",2997,">1500","both"
"777","RI-MS","MS","RI",1881,">1500","east"
"778","TN-MS","MS","TN",459,"301-500","east"
"779","VT-MS","MS","VT",1939,">1500","east"
"780","WA-MS","MS","WA",3056,">1500","both"
"781","WI-MS","MS","WI",1320,"1301-1500","east"
"782","AS-MS","MS","AS",10047,">1500","both"
"783","GU-MS","MS","GU",12302,">1500","both"
"784","MP-MS","MS","MP",12093,">1500","both"
"785","AZ-MO","MO","AZ",1777,">1500","west"
"786","AR-MO","MO","AR",385,"301-500","west"
"787","CA-MO","MO","CA",2384,">1500","west"
"788","CT-MO","MO","CT",1721,">1500","both"
"789","FL-MO","MO","FL",1420,"1301-1500","both"
"790","GA-MO","MO","GA",1035,"901-1100","both"
"791","ID-MO","MO","ID",1965,">1500","west"
"792","IL-MO","MO","IL",340,"301-500","both"
"793","IA-MO","MO","IA",421,"301-500","west"
"794","KS-MO","MO","KS",516,"501-700","west"
"795","LA-MO","MO","LA",813,"701-900","west"
"796","MD-MO","MO","MD",1367,"1301-1500","both"
"797","MN-MO","MO","MN",896,"701-900","west"
"798","MS-MO","MO","MS",673,"501-700","both"
"800","NE-MO","MO","NE",718,"701-900","west"
"801","NV-MO","MO","NV",2095,">1500","west"
"802","NJ-MO","MO","NJ",1548,">1500","both"
"803","NY-MO","MO","NY",1519,">1500","both"
"804","ND-MO","MO","ND",1200,"1101-1300","west"
"805","OH-MO","MO","OH",862,"701-900","both"
"806","PA-MO","MO","PA",1289,"1101-1300","both"
"807","SC-MO","MO","SC",1153,"1101-1300","both"
"808","SD-MO","MO","SD",934,"901-1100","west"
"809","TX-MO","MO","TX",988,"901-1100","west"
"810","UT-MO","MO","UT",1667,">1500","west"
"811","VA-MO","MO","VA",1198,"1101-1300","both"
"812","WY-MO","MO","WY",1372,"1301-1500","west"
"813","PR-MO","MO","PR",3367,">1500","west"
"814","OR-MO","MO","OR",2424,">1500","west"
"815","WV-MO","MO","WV",1035,"901-1100","both"
"816","AL-MO","MO","AL",803,"701-900","both"
"817","AK-MO","MO","AK",4824,">1500","west"
"818","CO-MO","MO","CO",1138,"1101-1300","west"
"819","DE-MO","MO","DE",1477,"1301-1500","both"
"820","DC-MO","MO","DC",1346,"1301-1500","west"
"821","HI-MO","MO","HI",6359,">1500","west"
"822","IN-MO","MO","IN",563,"501-700","both"
"823","KY-MO","MO","KY",639,"501-700","both"
"824","ME-MO","MO","ME",2072,">1500","both"
"825","MA-MO","MO","MA",1803,">1500","both"
"826","MI-MO","MO","MI",871,"701-900","both"
"827","MT-MO","MO","MT",1699,">1500","west"
"828","NH-MO","MO","NH",1848,">1500","both"
"829","NM-MO","MO","NM",1297,"1101-1300","west"
"830","NC-MO","MO","NC",1208,"1101-1300","both"
"831","OK-MO","MO","OK",544,"501-700","west"
"832","VI-MO","MO","VI",3531,">1500","west"
"833","RI-MO","MO","RI",1816,">1500","both"
"834","TN-MO","MO","TN",613,"501-700","both"
"835","VT-MO","MO","VT",1773,">1500","both"
"836","WA-MO","MO","WA",2476,">1500","west"
"837","WI-MO","MO","WI",726,"701-900","both"
"838","AS-MO","MO","AS",9991,">1500","west"
"839","GU-MO","MO","GU",11753,">1500","west"
"840","MP-MO","MO","MP",11540,">1500","west"
"841","AZ-NE","NE","AZ",1314,"1301-1500","west"
"842","AR-NE","NE","AR",978,"901-1100","west"
"843","CA-NE","NE","CA",1766,">1500","west"
"844","CT-NE","NE","CT",2250,">1500","both"
"845","FL-NE","NE","FL",2121,">1500","both"
"846","GA-NE","NE","GA",1752,">1500","both"
"847","ID-NE","NE","ID",1251,"1101-1300","west"
"848","IL-NE","NE","IL",910,"901-1100","both"
"849","IA-NE","NE","IA",528,"501-700","west"
"850","KS-NE","NE","KS",359,"301-500","west"
"851","LA-NE","NE","LA",1357,"1301-1500","west"
"852","MD-NE","NE","MD",1973,">1500","both"
"853","MN-NE","NE","MN",691,"501-700","west"
"854","MS-NE","NE","MS",1325,"1301-1500","both"
"855","MO-NE","NE","MO",718,"701-900","west"
"857","NV-NE","NE","NV",1447,"1301-1500","west"
"858","NJ-NE","NE","NJ",2118,">1500","both"
"859","NY-NE","NE","NY",2005,">1500","both"
"860","ND-NE","NE","ND",660,"501-700","west"
"861","OH-NE","NE","OH",1438,"1301-1500","both"
"862","PA-NE","NE","PA",1843,">1500","both"
"863","SC-NE","NE","SC",1864,">1500","both"
"864","SD-NE","NE","SD",325,"301-500","west"
"865","TX-NE","NE","TX",1115,"1101-1300","west"
"866","UT-NE","NE","UT",1035,"901-1100","west"
"867","VA-NE","NE","VA",1849,">1500","both"
"868","WY-NE","NE","WY",659,"501-700","west"
"869","PR-NE","NE","PR",4084,">1500","west"
"870","OR-NE","NE","OR",1715,">1500","west"
"871","WV-NE","NE","WV",1665,">1500","both"
"872","AL-NE","NE","AL",1504,">1500","both"
"873","AK-NE","NE","AK",4184,">1500","west"
"874","CO-NE","NE","CO",563,"501-700","west"
"875","DE-NE","NE","DE",2080,">1500","both"
"876","DC-NE","NE","DC",1956,">1500","west"
"877","HI-NE","NE","HI",5755,">1500","west"
"878","IN-NE","NE","IN",1156,"1101-1300","both"
"879","KY-NE","NE","KY",1323,"1301-1500","both"
"880","ME-NE","NE","ME",2497,">1500","both"
"881","MA-NE","NE","MA",2313,">1500","both"
"882","MI-NE","NE","MI",1265,"1101-1300","both"
"883","MT-NE","NE","MT",994,"901-1100","west"
"884","NH-NE","NE","NH",2318,">1500","both"
"885","NM-NE","NE","NM",963,"901-1100","west"
"886","NC-NE","NE","NC",1897,">1500","both"
"887","OK-NE","NE","OK",690,"501-700","west"
"888","VI-NE","NE","VI",4249,">1500","west"
"889","RI-NE","NE","RI",2342,">1500","both"
"890","TN-NE","NE","TN",1329,"1301-1500","both"
"891","VT-NE","NE","VT",2229,">1500","both"
"892","WA-NE","NE","WA",1759,">1500","west"
"893","WI-NE","NE","WI",869,"701-900","both"
"894","AS-NE","NE","AS",9528,">1500","west"
"895","GU-NE","NE","GU",11035,">1500","west"
"896","MP-NE","NE","MP",10822,">1500","west"
"897","AZ-NV","NV","AZ",717,"701-900","west"
"898","AR-NV","NV","AR",2201,">1500","west"
"899","CA-NV","NV","CA",348,"301-500","west"
"900","CT-NV","NV","CT",3693,">1500","both"
"901","FL-NV","NV","FL",3347,">1500","both"
"902","GA-NV","NV","GA",3067,">1500","both"
"903","ID-NV","NV","ID",583,"501-700","west"
"904","IL-NV","NV","IL",2346,">1500","both"
"905","IA-NV","NV","IA",1973,">1500","west"
"906","KS-NV","NV","KS",1585,">1500","west"
"907","LA-NV","NV","LA",2419,">1500","west"
"908","MD-NV","NV","MD",3417,">1500","both"
"909","MN-NV","NV","MN",1975,">1500","west"
"910","MS-NV","NV","MS",2529,">1500","both"
"911","MO-NV","NV","MO",2095,">1500","west"
"912","NE-NV","NV","NE",1447,"1301-1500","west"
"914","NJ-NV","NV","NJ",3565,">1500","both"
"915","NY-NV","NV","NY",3443,">1500","both"
"916","ND-NV","NV","ND",1585,">1500","west"
"917","OH-NV","NV","OH",2883,">1500","both"
"918","PA-NV","NV","PA",3289,">1500","both"
"919","SC-NV","NV","SC",3233,">1500","both"
"920","SD-NV","NV","SD",1472,"1301-1500","west"
"921","TX-NV","NV","TX",1794,">1500","west"
"922","UT-NV","NV","UT",429,"301-500","west"
"923","VA-NV","NV","VA",3280,">1500","both"
"924","WY-NV","NV","WY",864,"701-900","west"
"925","PR-NV","NV","PR",5346,">1500","west"
"926","OR-NV","NV","OR",603,"501-700","west"
"927","WV-NV","NV","WV",3102,">1500","both"
"928","AL-NV","NV","AL",2770,">1500","both"
"929","AK-NV","NV","AK",3642,">1500","west"
"930","CO-NV","NV","CO",960,"901-1100","west"
"931","DE-NV","NV","DE",3525,">1500","both"
"932","DC-NV","NV","DC",3400,">1500","west"
"933","HI-NV","NV","HI",4311,">1500","west"
"934","IN-NV","NV","IN",2596,">1500","both"
"935","KY-NV","NV","KY",2732,">1500","both"
"936","ME-NV","NV","ME",3906,">1500","both"
"937","MA-NV","NV","MA",3753,">1500","both"
"938","MI-NV","NV","MI",2700,">1500","both"
"939","MT-NV","NV","MT",1025,"901-1100","west"
"940","NH-NV","NV","NH",3747,">1500","both"
"941","NM-NV","NV","NM",1087,"901-1100","west"
"942","NC-NV","NV","NC",3303,">1500","both"
"943","OK-NV","NV","OK",1741,">1500","west"
"944","VI-NV","NV","VI",5524,">1500","west"
"945","RI-NV","NV","RI",3784,">1500","both"
"946","TN-NV","NV","TN",2692,">1500","both"
"947","VT-NV","NV","VT",3654,">1500","both"
"948","WA-NV","NV","WA",942,"901-1100","west"
"949","WI-NV","NV","WI",2273,">1500","both"
"950","AS-NV","NV","AS",8164,">1500","west"
"951","GU-NV","NV","GU",9795,">1500","west"
"952","MP-NV","NV","MP",9590,">1500","west"
"953","AZ-NJ","NJ","AZ",3323,">1500","both"
"954","AR-NJ","NJ","AR",1673,">1500","both"
"955","CA-NJ","NJ","CA",3881,">1500","both"
"956","CT-NJ","NJ","CT",228,"100-300","east"
"957","FL-NJ","NJ","FL",1467,"1301-1500","east"
"958","GA-NJ","NJ","GA",1148,"1101-1300","east"
"959","ID-NJ","NJ","ID",3299,">1500","both"
"960","IL-NJ","NJ","IL",1238,"1101-1300","east"
"961","IA-NJ","NJ","IA",1593,">1500","both"
"962","KS-NJ","NJ","KS",2048,">1500","both"
"963","LA-NJ","NJ","LA",1862,">1500","both"
"964","MD-NJ","NJ","MD",221,"100-300","east"
"965","MN-NJ","NJ","MN",1729,">1500","both"
"966","MS-NJ","NJ","MS",1574,">1500","east"
"967","MO-NJ","NJ","MO",1548,">1500","both"
"968","NE-NJ","NJ","NE",2118,">1500","both"
"969","NV-NJ","NJ","NV",3565,">1500","both"
"971","NY-NJ","NJ","NY",314,"301-500","east"
"972","ND-NJ","NJ","ND",2215,">1500","both"
"973","OH-NJ","NJ","OH",692,"501-700","east"
"974","PA-NJ","NJ","PA",277,"100-300","east"
"975","SC-NJ","NJ","SC",890,"701-900","east"
"976","SD-NJ","NJ","SD",2151,">1500","both"
"977","TX-NJ","NJ","TX",2420,">1500","both"
"978","UT-NJ","NJ","UT",3151,">1500","both"
"979","VA-NJ","NJ","VA",471,"301-500","east"
"980","WY-NJ","NJ","WY",2742,">1500","both"
"981","PR-NJ","NJ","PR",2558,">1500","both"
"982","OR-NJ","NJ","OR",3772,">1500","both"
"983","WV-NJ","NJ","WV",540,"501-700","east"
"984","AL-NJ","NJ","AL",1362,"1301-1500","east"
"985","AK-NJ","NJ","AK",5509,">1500","both"
"986","CO-NJ","NJ","CO",2643,">1500","both"
"987","DE-NJ","NJ","DE",151,"100-300","east"
"988","DC-NJ","NJ","DC",247,"100-300","both"
"989","HI-NJ","NJ","HI",7872,">1500","both"
"990","IN-NJ","NJ","IN",991,"901-1100","east"
"991","KY-NJ","NJ","KY",968,"901-1100","east"
"992","ME-NJ","NJ","ME",727,"701-900","east"
"993","MA-NJ","NJ","MA",332,"301-500","east"
"994","MI-NJ","NJ","MI",904,"901-1100","east"
"995","MT-NJ","NJ","MT",2898,">1500","both"
"996","NH-NJ","NJ","NH",465,"301-500","east"
"997","NM-NJ","NJ","NM",2845,">1500","both"
"998","NC-NJ","NJ","NC",661,"501-700","east"
"999","OK-NJ","NJ","OK",2067,">1500","both"
"1000","VI-NJ","NJ","VI",2665,">1500","both"
"1001","RI-NJ","NJ","RI",308,"301-500","east"
"1002","TN-NJ","NJ","TN",1132,"1101-1300","east"
"1003","VT-NJ","NJ","VT",463,"301-500","east"
"1004","WA-NJ","NJ","WA",3714,">1500","both"
"1005","WI-NJ","NJ","WI",1354,"1301-1500","east"
"1006","AS-NJ","NJ","AS",11532,">1500","both"
"1007","GU-NJ","NJ","GU",12813,">1500","both"
"1008","MP-NJ","NJ","MP",12593,">1500","both"
"1009","AZ-NY","NY","AZ",3264,">1500","both"
"1010","AR-NY","NY","AR",1714,">1500","both"
"1011","CA-NY","NY","CA",3770,">1500","both"
"1012","CT-NY","NY","CT",272,"100-300","east"
"1013","FL-NY","NY","FL",1706,">1500","east"
"1014","GA-NY","NY","GA",1338,"1301-1500","east"
"1015","ID-NY","NY","ID",3132,">1500","both"
"1016","IL-NY","NY","IL",1186,"1101-1300","east"
"1017","IA-NY","NY","IA",1479,"1301-1500","both"
"1018","KS-NY","NY","KS",1988,">1500","both"
"1019","LA-NY","NY","LA",1966,">1500","both"
"1020","MD-NY","NY","MD",447,"301-500","east"
"1021","MN-NY","NY","MN",1534,">1500","both"
"1022","MS-NY","NY","MS",1679,">1500","east"
"1023","MO-NY","NY","MO",1519,">1500","both"
"1024","NE-NY","NY","NE",2005,">1500","both"
"1025","NV-NY","NY","NV",3443,">1500","both"
"1026","NJ-NY","NY","NJ",314,"301-500","east"
"1028","ND-NY","NY","ND",2015,">1500","both"
"1029","OH-NY","NY","OH",674,"501-700","east"
"1030","PA-NY","NY","PA",298,"100-300","east"
"1031","SC-NY","NY","SC",1107,"1101-1300","east"
"1032","SD-NY","NY","SD",1993,">1500","both"
"1033","TX-NY","NY","TX",2456,">1500","both"
"1034","UT-NY","NY","UT",3040,">1500","both"
"1035","VA-NY","NY","VA",668,"501-700","east"
"1036","WY-NY","NY","WY",2598,">1500","both"
"1037","PR-NY","NY","PR",2870,">1500","both"
"1038","OR-NY","NY","OR",3603,">1500","both"
"1039","WV-NY","NY","WV",643,"501-700","east"
"1040","AL-NY","NY","AL",1501,">1500","east"
"1041","AK-NY","NY","AK",5216,">1500","both"
"1042","CO-NY","NY","CO",2552,">1500","both"
"1043","DE-NY","NY","DE",439,"301-500","east"
"1044","DC-NY","NY","DC",466,"301-500","both"
"1045","HI-NY","NY","HI",7754,">1500","both"
"1046","IN-NY","NY","IN",960,"901-1100","east"
"1047","KY-NY","NY","KY",1026,"901-1100","east"
"1048","ME-NY","NY","ME",570,"501-700","east"
"1049","MA-NY","NY","MA",311,"301-500","east"
"1050","MI-NY","NY","MI",743,"701-900","east"
"1051","MT-NY","NY","MT",2708,">1500","both"
"1052","NH-NY","NY","NH",329,"301-500","east"
"1053","NM-NY","NY","NM",2807,">1500","both"
"1054","NC-NY","NY","NC",887,"701-900","east"
"1055","OK-NY","NY","OK",2059,">1500","both"
"1056","VI-NY","NY","VI",2974,">1500","both"
"1057","RI-NY","NY","RI",351,"301-500","east"
"1058","TN-NY","NY","TN",1220,"1101-1300","east"
"1059","VT-NY","NY","VT",262,"100-300","east"
"1060","WA-NY","NY","WA",3517,">1500","both"
"1061","WI-NY","NY","WI",1181,"1101-1300","east"
"1062","AS-NY","NY","AS",11500,">1500","both"
"1063","GU-NY","NY","GU",12540,">1500","both"
"1064","MP-NY","NY","MP",12320,">1500","both"
"1065","AZ-ND","ND","AZ",1735,">1500","west"
"1066","AR-ND","ND","AR",1546,">1500","west"
"1067","CA-ND","ND","CA",1933,">1500","west"
"1068","CT-ND","ND","CT",2284,">1500","both"
"1069","FL-ND","ND","FL",2602,">1500","both"
"1070","GA-ND","ND","GA",2183,">1500","both"
"1071","ID-ND","ND","ID",1150,"1101-1300","west"
"1072","IL-ND","ND","IL",1221,"1101-1300","both"
"1073","IA-ND","ND","IA",812,"701-900","west"
"1074","KS-ND","ND","KS",1010,"901-1100","west"
"1075","LA-ND","ND","LA",1959,">1500","west"
"1076","MD-ND","ND","MD",2128,">1500","both"
"1077","MN-ND","ND","MN",486,"301-500","west"
"1078","MS-ND","ND","MS",1870,">1500","both"
"1079","MO-ND","ND","MO",1200,"1101-1300","west"
"1080","NE-ND","ND","NE",660,"501-700","west"
"1081","NV-ND","ND","NV",1585,">1500","west"
"1082","NJ-ND","ND","NJ",2215,">1500","both"
"1083","NY-ND","ND","NY",2015,">1500","both"
"1085","OH-ND","ND","OH",1623,">1500","both"
"1086","PA-ND","ND","PA",1946,">1500","both"
"1087","SC-ND","ND","SC",2224,">1500","both"
"1088","SD-ND","ND","SD",335,"301-500","west"
