iteration,grid,meancor.lin,mean.mean,mean.var
1,48-100,0.048398247,2.67395901,3.318160211
1,48-102,0.342887229,2.77899054,2.881252966
1,48-104,0.016801446,5.15438511,15.26071088
1,48-108,-0.105428906,10.57231313,24.12252435
1,50-102,0.138420322,2.411166996,2.421155435
1,50-106,0.216682091,8.08886657,24.55684482
1,50-108,-0.084652359,9.732303687,26.47211235
1,50-110,0.037914205,9.955842536,28.01383904
1,50-112,-0.020902426,12.26163098,35.83860851
1,52-106,0.182219092,8.949141033,25.28083758
1,52-108,0.041428473,10.02703039,24.55374933
1,52-110,0.080927726,10.02703039,24.55374933
1,52-112,0.062921598,12.74084619,32.52928381
2,48-100,0.141207731,2.524419799,2.157082645
2,48-102,0.284187871,2.876406331,2.181672483
2,48-104,0.196143502,5.117605689,5.807638344
2,48-108,0.364124296,10.5234545,17.26431674
2,50-102,0.211225036,2.507349652,1.845160931
2,50-106,0.223823111,7.72804607,12.55405807
2,50-108,0.037083621,9.449486516,14.06337569
2,50-110,0.199967245,9.722286723,14.80535562
2,50-112,0.066917902,11.79345168,18.68650937
2,52-106,0.044410913,8.550431764,15.31392826
2,52-108,0.054750572,9.764231487,15.3226792
2,52-110,-0.022649867,9.764231487,15.3226792
2,52-112,0.143570749,12.1945722,20.0231331
3,48-100,-0.044325783,2.872097315,6.01737425
3,48-102,0.218808742,2.998073204,5.142679589
3,48-104,-0.041957554,4.959265976,9.41687721
3,48-108,-0.037071496,10.11766167,20.96614717
3,50-102,-0.021012535,2.633684987,4.322009776
3,50-106,0.086293089,7.210402565,13.99557909
3,50-108,0.080416178,8.831901991,15.41975963
3,50-110,0.163937676,8.896527851,14.56760467
3,50-112,0.019005285,10.82214714,18.4636972
3,52-106,0.026279481,7.643206266,12.58993521
3,52-108,0.111373718,8.87768505,12.84350117
3,52-110,0.13977185,8.87768505,12.84350117
3,52-112,0.174837809,11.11795996,16.81424128
4,48-100,0.026537383,2.911818113,5.084346638
4,48-102,0.079454297,3.122739521,4.641302796
4,48-104,-0.084331719,4.794309444,7.476637823
4,48-108,-0.17312644,10.08373165,23.47452464
4,50-102,0.24311363,2.725002074,3.913908179
4,50-106,0.12162025,7.567773624,18.49085651
4,50-108,0.045993438,9.25760372,20.77494559
4,50-110,0.073808956,9.324327478,20.90843277
4,50-112,-0.034875884,11.31660104,26.43283321
4,52-106,0.117136499,8.299714837,21.45941548
4,52-108,0.119878726,9.516025395,21.66308513
4,52-110,-0.009678772,9.516025395,21.66308513
4,52-112,0.072972301,11.90424386,28.35976976
5,48-100,0.043216393,3.150245255,6.826577874
5,48-102,0.145779369,3.327412656,5.937701682
5,48-104,0.194832686,4.937840186,7.597636831
5,48-108,0.139258522,9.916670118,19.21463837
5,50-102,0.253786488,2.884874661,4.975577331
5,50-106,0.096800679,7.274367307,14.83100036
5,50-108,0.180110085,8.817565477,16.10342679
5,50-110,0.24315215,8.728134182,14.93808702
5,50-112,0.272241094,10.54927724,18.84223295
5,52-106,0.077960778,7.795983501,15.72231022
5,52-108,0.189817904,8.896593179,15.39037779
5,52-110,0.240254411,8.896593179,15.39037779
5,52-112,0.30256158,11.07741308,20.09597831
6,48-100,-0.086362122,3.045618475,6.052298232
6,48-102,0.099412895,3.163805206,5.659451986
6,48-104,0.035054916,5.135327759,11.52748975
6,48-108,0.391810906,10.49944349,22.867876
6,50-102,0.046380627,2.827154475,5.527239115
6,50-106,0.171650625,8.006350408,27.99001295
6,50-108,0.09253862,9.762437309,29.08874501
6,50-110,-0.009028792,9.852491037,29.78629391
6,50-112,0.199797189,11.98456663,37.0174862
6,52-106,0.043040974,8.712193075,31.75817229
6,52-108,0.087166398,9.956504672,29.18243853
6,52-110,0.118350358,9.956504672,29.18243853
6,52-112,-0.028440347,12.4785974,37.41754442
7,48-100,0.462492311,2.904527937,4.446135914
7,48-102,0.415395183,2.961088655,3.781267436
7,48-104,0.327678532,5.147369014,12.81741321
7,48-108,0.124054166,10.48209559,23.39296478
7,50-102,0.514676446,2.571062733,3.171333612
7,50-106,0.261491216,7.85887738,24.73855604
7,50-108,0.081347743,9.551440731,26.58287998
7,50-110,0.12501313,9.631717644,27.62383029
7,50-112,0.20730447,11.83959916,35.33871637
7,52-106,0.031218778,8.510563124,29.82705073
7,52-108,0.150469982,9.70096625,28.43219541
7,52-110,0.086194643,9.70096625,28.43219541
7,52-112,0.135985189,12.29991089,37.70235088
8,48-100,0.307212883,2.622644714,3.564720863
8,48-102,0.151697632,2.83394307,3.20564267
8,48-104,0.073118932,4.482822487,7.913003891
8,48-108,-0.002746962,9.806355631,24.30958169
8,50-102,0.129362137,2.485686226,2.691728285
8,50-106,0.069121299,7.55234146,26.43074657
8,50-108,-0.207078715,9.223116279,27.67396134
8,50-110,0.131414695,9.417672383,29.24678537
8,50-112,0.100579897,11.47650185,37.33279744
8,52-106,-0.187990282,8.422658639,32.93546064
8,52-108,0.115317914,9.616395167,30.41803514
8,52-110,0.065246926,9.616395167,30.41803514
8,52-112,0.041786793,12.08460381,40.24213248
9,48-100,0.185417894,2.909911265,11.8060248
9,48-102,0.056679066,3.014354224,9.783148907
9,48-104,0.081041951,4.817708584,12.68116177
9,48-108,0.087543337,9.920178538,20.98342769
9,50-102,0.22893457,2.625004495,8.166837965
9,50-106,0.008772419,7.494456411,20.04193922
9,50-108,0.081111417,9.112387496,21.08453196
9,50-110,0.091847358,9.181899131,18.28723318
9,50-112,0.209296951,11.21810147,23.25831
9,52-106,0.247854956,8.176668701,19.5051782
9,52-108,0.143428646,9.326038511,18.40929685
9,52-110,0.146319199,9.326038511,18.40929685
9,52-112,0.218118781,11.74965436,24.24957437
10,48-100,-0.22850636,2.914649416,3.816163368
10,48-102,0.066239248,2.976678729,3.265114504
10,48-104,0.10018185,5.408285824,11.50741822
10,48-108,-0.115643109,10.57646132,25.08399041
10,50-102,0.266843091,2.606017997,2.770549594
10,50-106,0.211827188,8.267203622,32.81157278
