iteration,grid,meancor.lin,mean.mean,mean.var
1,46-100,0.422259064,14.00876876,34.32605262
1,46-102,0.305761944,13.85686038,34.66061331
1,46-104,-0.018657052,14.36504273,40.73548907
1,46-106,0.038522068,14.42478314,39.94061638
1,46-108,-0.055649371,13.05018858,45.68848973
1,46-110,0.116007558,14.41197518,56.65630999
1,48-100,0.25828468,12.2287706,29.55949775
1,48-102,0.290431259,11.76555657,28.42002997
1,48-104,0.093984678,13.42318001,38.19336796
1,48-106,0.13429656,16.01444737,49.4562374
1,48-108,-0.021615659,16.95996374,91.98079498
1,48-110,-0.001148644,18.53742342,107.3770997
1,48-112,0.040515366,21.48218576,137.9830352
1,50-102,0.178273001,9.830737265,16.79581728
1,50-106,-0.146141525,16.53744123,51.70414736
1,50-108,0.003238045,17.42786284,101.8849496
1,50-110,0.036139831,18.70729463,111.9287105
1,50-112,0.05876375,20.03407319,131.7163879
1,52-110,-0.125525123,18.02525861,131.5249353
1,52-112,0.204127561,20.57993013,156.6388774
2,46-100,0.349789982,14.05803258,38.76871303
2,46-102,0.418996392,14.19208017,50.09453911
2,46-104,-0.051596812,14.57467671,50.55122052
2,46-106,0.005246181,14.60341015,51.98873989
2,46-108,-0.052795866,13.19027916,54.04993296
2,46-110,-0.137216395,14.69083478,68.00764661
2,48-100,0.292489293,12.22207791,33.29221395
2,48-102,0.333636583,11.8672081,40.36511025
2,48-104,0.202084681,13.50236878,45.11616139
2,48-106,0.12833838,16.07801895,57.72536604
2,48-108,0.097823846,16.79300947,75.3061766
2,48-110,-0.040845147,18.40295037,88.05312958
2,48-112,0.163053587,21.16436481,99.74735256
2,50-102,0.392264849,9.876579882,29.69271719
2,50-106,0.096129067,16.64921789,56.30955772
2,50-108,0.073048885,17.35588432,75.68549581
2,50-110,0.046233659,18.63116822,83.10782984
2,50-112,0.188610115,19.82810694,85.85834576
2,52-110,-0.121101442,17.68744106,87.95171515
2,52-112,0.025213159,20.43911134,105.0497441
3,46-100,0.24357458,13.87665741,53.31604546
3,46-102,0.054599666,13.83116477,51.91951843
3,46-104,0.087857613,14.20128802,49.04711069
3,46-106,-0.050718715,13.99488128,31.19517739
3,46-108,-0.022538441,12.63904162,29.9331694
3,46-110,0.079008858,13.86168263,36.63616571
3,48-100,0.205531596,12.06714871,45.76620725
3,48-102,0.26345304,11.69880623,42.09670814
3,48-104,-0.143453381,13.27253695,46.94182428
3,48-106,0.126218107,15.65266207,47.8597482
3,48-108,-0.005902771,16.59897525,71.59352333
3,48-110,-0.026624992,18.09700746,83.43367624
3,48-112,0.143007972,20.81863259,102.145851
3,50-102,0.217193536,9.519014492,15.30874954
3,50-106,0.047074771,16.25345953,51.56005367
3,50-108,0.112249322,17.0979107,76.76659095
3,50-110,0.079746719,18.3086297,84.15717623
3,50-112,0.192901188,19.55669508,96.75551442
3,52-110,-0.012275576,17.9337804,111.015134
3,52-112,0.279295672,20.49480696,132.1894097
4,46-100,0.553012606,14.03411907,100.6831856
4,46-102,0.399957328,13.99157941,83.91203111
4,46-104,-0.315055022,14.30393316,78.34776321
4,46-106,-0.074765248,14.04221438,45.74970084
4,46-108,-0.12678733,12.59194228,35.35473589
4,46-110,0.079522747,13.92476592,44.01588571
4,48-100,0.494217033,12.2152507,86.56150572
4,48-102,0.288763662,11.73257557,67.68233486
4,48-104,0.270554393,13.42521538,76.79716754
4,48-106,0.097521352,15.98014859,65.64100345
4,48-108,0.087604422,17.31549831,189.0824326
4,48-110,-0.015832624,19.02248718,222.5445637
4,48-112,0.366778145,22.17854476,297.137174
4,50-102,0.26036813,9.507693607,27.93516044
4,50-106,-0.1441836,16.77799936,74.100404
4,50-108,0.266204528,18.24733609,225.2019371
4,50-110,0.115341393,19.5740994,247.4828438
4,50-112,0.261080188,21.31204624,303.4049235
4,52-110,0.030191682,19.94739823,372.4698872
4,52-112,0.007384973,23.11866189,446.2247299
5,46-100,0.416370759,13.59212347,51.7000185
5,46-102,0.280841855,13.44435606,50.01474548
5,46-104,-0.034581,13.88400657,51.60527997
5,46-106,-0.000594116,13.8430018,39.86694048
5,46-108,0.052770061,12.42689753,40.390755
5,46-110,0.104056748,13.80652203,46.70612656
5,48-100,0.403482175,11.81540879,44.36869871
5,48-102,0.20798984,11.24078069,40.33780967
5,48-104,0.002645835,12.87678189,45.27951516
5,48-106,0.058590373,15.54871071,51.85172034
5,48-108,0.039831498,16.24120249,61.83757137
5,48-110,0.145059584,17.81265535,69.75586533
5,48-112,0.228424925,20.77990794,84.31466411
5,50-102,0.035014849,9.31048786,22.37865176
5,50-106,0.03175901,16.50152818,58.78037051
5,50-108,0.003001249,17.05110663,66.45514457
5,50-110,0.103874542,18.34368441,72.98482612
5,50-112,0.286716986,19.82373287,80.98510791
5,52-110,-0.048558286,17.68849034,78.53279296
5,52-112,0.085182095,20.48662086,93.66348098
6,46-100,0.334641632,13.0746787,23.7298859
6,46-102,0.074833835,13.00741863,25.04033891
6,46-104,-0.184895356,13.42485186,33.72178814
6,46-106,-0.102694455,14.10047725,61.82861444
6,46-108,-0.049418197,12.75256451,60.29811466
6,46-110,0.011781383,14.0150578,76.13491735
6,48-100,0.289369868,11.38165585,20.38993766
6,48-102,0.211285301,10.96268135,20.34972974
6,48-104,0.031519096,12.63959997,39.2417216
6,48-106,0.098881848,15.67481719,68.64844649
6,48-108,-0.059474995,16.75519574,153.5085158
6,48-110,-0.001952482,18.2863517,180.5338268
6,48-112,0.056003722,21.39933076,240.6380451
6,50-102,0.170149654,9.36529269,14.87752723
6,50-106,0.109033921,16.14888255,57.31438271
6,50-108,0.034227012,17.00571998,152.5348083
6,50-110,0.177362329,18.22714488,167.6008865
6,50-112,0.075308257,19.69996816,203.6334027
6,52-110,-0.048217574,18.01274874,242.8724285
6,52-112,0.187995815,20.74650935,290.8820466
7,46-100,0.357246041,13.61578173,36.50740489
7,46-102,0.289581622,13.252627,39.62275497
7,46-104,0.060598009,13.83116949,45.0423811
7,46-106,0.091033719,14.35859644,53.29045368
7,46-108,-0.065886799,13.04584413,51.00675684
7,46-110,0.06537903,14.26890324,63.15516834
7,48-100,0.419655713,11.84795349,31.32888
7,48-102,0.193201362,11.11497766,31.8278873
7,48-104,0.096969163,12.99139346,45.08880078
7,48-106,0.194492082,15.84467874,58.60009408
7,48-108,0.186185732,16.8865933,104.2291952
7,48-110,0.013785814,18.36322167,121.6368095
7,48-112,-0.043438191,21.72266702,154.8785239
7,50-102,0.354254863,9.032367547,19.09406149
7,50-106,-0.093582366,16.03470371,51.44901431
7,50-108,0.099904987,16.86768039,101.6113579
7,50-110,0.12162815,18.05695502,111.6104714
7,50-112,0.170642952,19.71328783,128.8169733
7,52-110,-0.015740959,17.85090116,149.8622146
7,52-112,0.156190172,20.64352608,179.626837
8,46-100,0.208860038,13.39625489,42.33773802
8,46-102,0.359829674,13.80483135,42.88783512
8,46-104,0.14386346,14.080786,41.71482245
8,46-106,0.054769806,14.10680359,29.77555012
8,46-108,0.031144953,12.74272379,33.78151015
8,46-110,-0.103786667,14.20657997,42.28077108
8,48-100,0.191181266,11.65286211,36.34190848
8,48-102,0.289168741,11.72025154,35.19630641
8,48-104,0.073171139,13.24844395,37.49819103
8,48-106,0.054033377,15.75975446,46.24251707
8,48-108,-0.038061228,16.50119634,63.53975054
8,48-110,0.021792918,18.11609982,74.35896029
8,48-112,0.095784432,20.45557717,90.04735732
8,50-102,-0.05190909,9.921398127,21.63767131
8,50-106,0.018767307,16.34758134,53.53588734
8,50-108,0.088471249,16.83599164,68.10493293
8,50-110,-0.045205276,18.07112705,74.70501543
8,50-112,0.187704407,19.02656048,83.47896477
8,52-110,-0.052991394,17.54893754,88.24734284
8,52-112,0.282168991,19.94445321,104.198121
9,46-100,0.323480498,13.57107346,36.82713489
9,46-102,0.164285945,14.12639977,49.23227327
